site	gene_id	gene_name	chrom	pos	n_sig_windows	min_p	windows
NC_000020.11:31167256	ENSG00000215547.1	DEFB115	chr20	31167256	1	2.8961300000000003e-24	up
NC_000010.11:46894637	ENSG00000204179.11	PTPN20	chr10	46894637	1	3.2565900000000004e-24	up
NC_000022.11:42963935	ENSG00000100266.19	PACSIN2	chr22	42963935	2	4.807290000000001e-24	body,up
NC_000018.10:106343	ENSG00000173213.11	TUBB8B	chr18	106343	1	6.5955700000000004e-24	dn
NC_000004.12:56635840	ENSG00000171476.23	HOPX	chr4	56635840	2	8.318330000000001e-24	enh,up
NC_000009.12:94025614	ENSG00000158079.16	PTPDC1	chr9	94025614	1	1.0415e-23	up
NC_000006.12:87533288	ENSG00000146282.19	RARS2	chr6	87533288	3	1.30158e-23	body,dn,up
NC_000009.12:113081753	ENSG00000136866.14	ZFP37	chr9	113081753	1	2.28754e-23	dn
NC_000008.11:63246844	ENSG00000185728.17	YTHDF3	chr8	63246844	1	3.29197e-23	dn
NC_000020.11:31095771	ENSG00000215547.1	DEFB115	chr20	31095771	1	4.07665e-23	up
NC_000010.11:46882371	ENSG00000204179.11	PTPN20	chr10	46882371	1	5.0272500000000003e-23	up
NC_000009.12:113087022	ENSG00000136866.14	ZFP37	chr9	113087022	1	6.55464e-23	dn
NC_000014.9:18661497	ENSG00000257115.2	OR11H12	chr14	18661497	1	7.39758e-23	up
NC_000007.14:141759526	ENSG00000127362.2	TAS2R3	chr7	141759526	2	2.16652e-22	dn,up
NC_000006.12:149981683	ENSG00000111981.5	ULBP1	chr6	149981683	2	6.1437499999999995e-22	body,dn
NC_000001.11:93822617	ENSG00000137936.18	BCAR3	chr1	93822617	2	2.61416e-21	body,up
NC_000017.11:21307355	ENSG00000034152.20	MAP2K3	chr17	21307355	1	3.7511899999999996e-21	body
NC_000011.10:100662631	ENSG00000165895.19	ARHGAP42	chr11	100662631	2	4.37047e-21	body,up
NC_000009.12:113081727	ENSG00000136866.14	ZFP37	chr9	113081727	1	5.0775399999999994e-21	dn
NC_000020.11:31236705	ENSG00000215547.1	DEFB115	chr20	31236705	1	6.25637e-21	up
NC_000012.12:4631621	ENSG00000111254.8	AKAP3	chr12	4631621	3	1.0749899999999999e-20	body,dn,up
NC_000003.12:125990896	ENSG00000114547.10	ROPN1B	chr3	125990896	1	1.1217199999999998e-20	dn
NC_000010.11:133609029	ENSG00000225899.8	FRG2B	chr10	133609029	2	1.13898e-20	dn,up
NC_000014.9:21777825	ENSG00000276240.4	OR4E1	chr14	21777825	1	1.9774799999999998e-20	dn
NC_000004.12:76169340	ENSG00000138750.16	NUP54	chr4	76169340	3	3.1428299999999994e-20	body,dn,up
NC_000011.10:102602109	ENSG00000137674.4	MMP20	chr11	102602109	4	3.1753499999999995e-20	body,dn,enh,up
NC_000015.10:51972677	ENSG00000166477.13	LEO1	chr15	51972677	2	3.28411e-20	dn,enh
NC_000018.10:106942	ENSG00000173213.11	TUBB8B	chr18	106942	1	3.4014799999999997e-20	dn
NC_000012.12:42084461	ENSG00000151233.11	GXYLT1	chr12	42084461	3	3.4275599999999995e-20	body,dn,up
NC_000010.11:46883223	ENSG00000204179.11	PTPN20	chr10	46883223	1	3.6229299999999997e-20	up
NC_000011.10:102602105	ENSG00000137674.4	MMP20	chr11	102602105	4	6.57797e-20	body,dn,enh,up
NC_000013.11:94597248	ENSG00000088451.11	TGDS	chr13	94597248	2	7.586919999999999e-20	dn,up
NC_000005.10:144132073	ENSG00000145817.17	YIPF5	chr5	144132073	1	1.13571e-19	up
NC_000017.11:21723597	ENSG00000260458.3	KCNJ18	chr17	21723597	1	1.19912e-19	dn
NC_000006.12:160630232	ENSG00000198670.13	LPA	chr6	160630232	3	1.55562e-19	body,dn,up
NC_000007.14:115057445	ENSG00000135272.13	MDFIC	chr7	115057445	1	1.88581e-19	dn
NC_000010.11:46889673	ENSG00000204179.11	PTPN20	chr10	46889673	1	3.37916e-19	up
NC_000007.14:121433171	ENSG00000196937.11	FAM3C	chr7	121433171	2	4.2688000000000005e-19	dn,enh
NC_000001.11:247461375	ENSG00000177535.10	OR2B11	chr1	247461375	1	4.29373e-19	dn
NC_000006.12:19940364	ENSG00000172201.12	ID4	chr6	19940364	1	4.9863400000000005e-19	dn
NC_000004.12:39294497	ENSG00000035928.17	RFC1	chr4	39294497	3	5.71877e-19	body,dn,up
NC_000017.11:21744382	ENSG00000260458.3	KCNJ18	chr17	21744382	1	6.93211e-19	dn
NC_000011.10:102602218	ENSG00000137674.4	MMP20	chr11	102602218	4	7.75087e-19	body,dn,enh,up
NC_000006.12:132862597	ENSG00000112306.8	RPS12	chr6	132862597	1	8.20195e-19	dn
NC_000005.10:34188371	ENSG00000273294.1	C1QTNF3-AMACR	chr5	34188371	2	8.48475e-19	body,up
NC_000002.12:26178974	ENSG00000157833.13	GAREM2	chr2	26178974	2	8.53776e-19	body,prom
NC_000006.12:169566662	ENSG00000285733.1	ENSG00000285733	chr6	169566662	1	1.20814e-18	dn
NC_000002.12:73898051	ENSG00000163017.14	ACTG2	chr2	73898051	1	2.1553e-18	body
NC_000005.10:43598230	ENSG00000112992.18	NNT	chr5	43598230	1	2.5899e-18	up
NC_000010.11:46878974	ENSG00000204179.11	PTPN20	chr10	46878974	1	2.59494e-18	up
NC_000009.12:113087256	ENSG00000136866.14	ZFP37	chr9	113087256	1	3.2964600000000004e-18	dn
NC_000009.12:113086814	ENSG00000136866.14	ZFP37	chr9	113086814	1	3.3018500000000003e-18	dn
NC_000014.9:66659184	ENSG00000171723.16	GPHN	chr14	66659184	2	3.3080800000000003e-18	body,up
NC_000009.12:113087191	ENSG00000136866.14	ZFP37	chr9	113087191	1	3.4222e-18	dn
NC_000010.11:38836575	ENSG00000283930.1	PLD5P1	chr10	38836575	3	3.47252e-18	body,dn,up
NC_000010.11:46883109	ENSG00000204179.11	PTPN20	chr10	46883109	1	3.62376e-18	up
NC_000004.12:151530892	ENSG00000164142.16	FHIP1A	chr4	151530892	2	3.755880000000001e-18	body,up
NC_000020.11:31231825	ENSG00000215547.1	DEFB115	chr20	31231825	1	4.13208e-18	up
NC_000009.12:113087387	ENSG00000136866.14	ZFP37	chr9	113087387	1	5.089760000000001e-18	dn
NC_000010.11:46875612	ENSG00000204179.11	PTPN20	chr10	46875612	1	1.03363e-17	up
NC_000010.11:46884149	ENSG00000204179.11	PTPN20	chr10	46884149	1	1.17059e-17	up
NC_000011.10:102602093	ENSG00000137674.4	MMP20	chr11	102602093	4	1.19424e-17	body,dn,enh,up
NC_000009.12:113081745	ENSG00000136866.14	ZFP37	chr9	113081745	1	1.25846e-17	dn
NC_000009.12:113087055	ENSG00000136866.14	ZFP37	chr9	113087055	1	1.52413e-17	dn
NC_000020.11:31238957	ENSG00000215547.1	DEFB115	chr20	31238957	1	1.58952e-17	up
NC_000017.11:21309506	ENSG00000034152.20	MAP2K3	chr17	21309506	1	2.12937e-17	body
NC_000010.11:46885581	ENSG00000204179.11	PTPN20	chr10	46885581	1	2.73429e-17	up
NC_000017.11:21303127	ENSG00000034152.20	MAP2K3	chr17	21303127	1	4.95393e-17	body
NC_000011.10:45293616	ENSG00000019505.8	SYT13	chr11	45293616	1	5.8935e-17	dn
NC_000002.12:238432451	ENSG00000065802.12	ASB1	chr2	238432451	1	7.65381e-17	body
NC_000011.10:60204395	ENSG00000110079.19	MS4A4A	chr11	60204395	2	7.94066e-17	body,up
NC_000018.10:14543512	ENSG00000183206.18	POTEC	chr18	14543512	1	8.7011e-17	dn
NC_000011.10:102602034	ENSG00000137674.4	MMP20	chr11	102602034	4	9.04902e-17	body,dn,enh,up
NC_000010.11:38831961	ENSG00000283930.1	PLD5P1	chr10	38831961	3	9.17039e-17	body,dn,up
NC_000001.11:2673343	ENSG00000142606.16	MMEL1	chr1	2673343	3	9.59442e-17	body,dn,up
NC_000010.11:46883253	ENSG00000204179.11	PTPN20	chr10	46883253	1	9.97655e-17	up
NC_000009.12:113082026	ENSG00000136866.14	ZFP37	chr9	113082026	1	1.21478e-16	dn
NC_000009.12:113065409	ENSG00000136866.14	ZFP37	chr9	113065409	1	1.2816e-16	dn
NC_000020.11:31233840	ENSG00000215547.1	DEFB115	chr20	31233840	1	1.31503e-16	up
NC_000020.11:23346724	ENSG00000132661.4	NXT1	chr20	23346724	2	1.32788e-16	enh,up
NC_000018.10:79147549	ENSG00000166377.21	ATP9B	chr18	79147549	2	1.44841e-16	body,up
NC_000018.10:14543519	ENSG00000183206.18	POTEC	chr18	14543519	2	1.45609e-16	dn,up
NC_000003.12:125990899	ENSG00000114547.10	ROPN1B	chr3	125990899	1	1.49331e-16	dn
NC_000010.11:46881569	ENSG00000204179.11	PTPN20	chr10	46881569	1	1.56831e-16	up
NC_000013.11:94597204	ENSG00000088451.11	TGDS	chr13	94597204	2	1.63974e-16	dn,up
NC_000009.12:113087228	ENSG00000136866.14	ZFP37	chr9	113087228	1	1.69109e-16	dn
NC_000012.12:49017362	ENSG00000181929.13	PRKAG1	chr12	49017362	1	1.77285e-16	dn
NC_000010.11:38830131	ENSG00000283930.1	PLD5P1	chr10	38830131	3	1.88057e-16	body,dn,up
NC_000020.11:31191831	ENSG00000215547.1	DEFB115	chr20	31191831	1	2.0646e-16	up
NC_000009.12:113087173	ENSG00000136866.14	ZFP37	chr9	113087173	1	2.07433e-16	dn
NC_000010.11:46885433	ENSG00000204179.11	PTPN20	chr10	46885433	1	2.19406e-16	up
NC_000008.11:142899850	ENSG00000179142.2	CYP11B2	chr8	142899850	1	2.23951e-16	up
NC_000010.11:46888904	ENSG00000204179.11	PTPN20	chr10	46888904	1	2.57319e-16	up
NC_000006.12:15414543	ENSG00000008083.14	JARID2	chr6	15414543	1	2.63165e-16	body
NC_000011.10:102601987	ENSG00000137674.4	MMP20	chr11	102601987	4	3.05402e-16	body,dn,enh,up
NC_000011.10:16907364	ENSG00000166689.18	PLEKHA7	chr11	16907364	1	3.36993e-16	body
NC_000002.12:238451063	ENSG00000065802.12	ASB1	chr2	238451063	2	3.56496e-16	body,dn
NC_000009.12:113081695	ENSG00000136866.14	ZFP37	chr9	113081695	1	3.80946e-16	dn
NC_000003.12:125990564	ENSG00000114547.10	ROPN1B	chr3	125990564	1	3.9585e-16	dn
NC_000003.12:125990917	ENSG00000114547.10	ROPN1B	chr3	125990917	1	4.48336e-16	dn
NC_000017.11:21673387	ENSG00000260458.3	KCNJ18	chr17	21673387	1	4.88453e-16	dn
NC_000001.11:2666124	ENSG00000142606.16	MMEL1	chr1	2666124	3	5.22225e-16	body,dn,up
NC_000009.12:87857247	ENSG00000177992.10	SPATA31E1	chr9	87857247	1	6.60694e-16	up
NC_000009.12:113082202	ENSG00000136866.14	ZFP37	chr9	113082202	1	7.69629e-16	dn
NC_000020.11:31174902	ENSG00000215547.1	DEFB115	chr20	31174902	1	8.91948e-16	up
NC_000002.12:225076929	ENSG00000135905.21	DOCK10	chr2	225076929	2	9.00332e-16	body,up
NC_000020.11:31176748	ENSG00000215547.1	DEFB115	chr20	31176748	1	1.013e-15	up
NC_000009.12:113065474	ENSG00000136866.14	ZFP37	chr9	113065474	1	1.09047e-15	dn
NC_000009.12:113081767	ENSG00000136866.14	ZFP37	chr9	113081767	1	1.17626e-15	dn
NC_000016.10:49945982	ENSG00000205423.12	CNEP1R1	chr16	49945982	1	1.28421e-15	up
NC_000009.12:113081782	ENSG00000136866.14	ZFP37	chr9	113081782	1	1.3498e-15	dn
NC_000010.11:38831756	ENSG00000283930.1	PLD5P1	chr10	38831756	3	1.59622e-15	body,dn,up
NC_000009.12:113087199	ENSG00000136866.14	ZFP37	chr9	113087199	1	1.67625e-15	dn
NC_000009.12:113087131	ENSG00000136866.14	ZFP37	chr9	113087131	1	1.76111e-15	dn
NC_000011.10:102601971	ENSG00000137674.4	MMP20	chr11	102601971	4	1.76528e-15	body,dn,enh,up
NC_000009.12:113087695	ENSG00000136866.14	ZFP37	chr9	113087695	1	2.05964e-15	dn
NC_000009.12:113081514	ENSG00000136866.14	ZFP37	chr9	113081514	1	2.32809e-15	dn
NC_000009.12:113087741	ENSG00000136866.14	ZFP37	chr9	113087741	1	2.40539e-15	dn
NC_000009.12:113087075	ENSG00000136866.14	ZFP37	chr9	113087075	1	2.49252e-15	dn
NC_000020.11:31238424	ENSG00000215547.1	DEFB115	chr20	31238424	1	2.59762e-15	up
NC_000018.10:14543594	ENSG00000183206.18	POTEC	chr18	14543594	1	2.76565e-15	dn
NC_000017.11:70206424	ENSG00000123700.5	KCNJ2	chr17	70206424	1	2.82621e-15	dn
NC_000020.11:31229343	ENSG00000215547.1	DEFB115	chr20	31229343	1	2.82715e-15	up
NC_000009.12:113065431	ENSG00000136866.14	ZFP37	chr9	113065431	1	3.02856e-15	dn
NC_000009.12:113081764	ENSG00000136866.14	ZFP37	chr9	113081764	1	3.59269e-15	dn
NC_000009.12:113065391	ENSG00000136866.14	ZFP37	chr9	113065391	1	3.59591e-15	dn
NC_000009.12:113086960	ENSG00000136866.14	ZFP37	chr9	113086960	1	5.34849e-15	dn
NC_000022.11:25201743	ENSG00000100053.10	CRYBB3	chr22	25201743	1	5.40175e-15	up
NC_000009.12:113081576	ENSG00000136866.14	ZFP37	chr9	113081576	1	6.52996e-15	dn
NC_000010.11:46881929	ENSG00000204179.11	PTPN20	chr10	46881929	1	6.83152e-15	up
NC_000009.12:113065273	ENSG00000136866.14	ZFP37	chr9	113065273	1	7.79803e-15	dn
NC_000009.12:113081609	ENSG00000136866.14	ZFP37	chr9	113081609	1	8.05862e-15	dn
NC_000010.11:46880950	ENSG00000204179.11	PTPN20	chr10	46880950	1	8.25984e-15	up
NC_000020.11:31193798	ENSG00000215547.1	DEFB115	chr20	31193798	1	8.91057e-15	up
NC_000005.10:34181808	ENSG00000273294.1	C1QTNF3-AMACR	chr5	34181808	2	9.1779e-15	body,up
NC_000020.11:31169280	ENSG00000215547.1	DEFB115	chr20	31169280	1	9.34399e-15	up
NC_000009.12:113086994	ENSG00000136866.14	ZFP37	chr9	113086994	1	1.04011e-14	dn
NC_000009.12:113087210	ENSG00000136866.14	ZFP37	chr9	113087210	1	1.10955e-14	dn
NC_000003.12:125990864	ENSG00000114547.10	ROPN1B	chr3	125990864	1	1.27761e-14	dn
NC_000020.11:31224087	ENSG00000215547.1	DEFB115	chr20	31224087	1	1.29552e-14	up
NC_000011.10:128552721	ENSG00000134954.14	ETS1	chr11	128552721	2	1.49878e-14	dn,enh
NC_000002.12:65370327	ENSG00000198369.10	SPRED2	chr2	65370327	3	1.54698e-14	body,dn,up
NC_000009.12:138174768	ENSG00000148408.15	CACNA1B	chr9	138174768	1	1.55519e-14	prom
NC_000019.10:21564350	ENSG00000197013.11	ZNF429	chr19	21564350	2	1.639e-14	dn,enh
NC_000017.11:68431762	ENSG00000070540.13	WIPI1	chr17	68431762	3	1.76637e-14	body,dn,up
NC_000002.12:26179004	ENSG00000157833.13	GAREM2	chr2	26179004	2	2.02145e-14	body,prom
NC_000003.12:125990546	ENSG00000114547.10	ROPN1B	chr3	125990546	1	2.16683e-14	dn
NC_000010.11:38833901	ENSG00000283930.1	PLD5P1	chr10	38833901	3	2.36072e-14	body,dn,up
NC_000012.12:87927647	ENSG00000133641.18	RLIG1	chr12	87927647	1	2.45748e-14	up
NC_000011.10:102602049	ENSG00000137674.4	MMP20	chr11	102602049	4	2.86945e-14	body,dn,enh,up
NC_000009.12:113087558	ENSG00000136866.14	ZFP37	chr9	113087558	1	2.87369e-14	dn
NC_000004.12:119361410	ENSG00000145384.4	FABP2	chr4	119361410	1	3.47301e-14	dn
NC_000009.12:113081589	ENSG00000136866.14	ZFP37	chr9	113081589	1	4.10758e-14	dn
NC_000009.12:113087106	ENSG00000136866.14	ZFP37	chr9	113087106	1	5.54123e-14	dn
NC_000006.12:157312522	ENSG00000215712.11	TMEM242	chr6	157312522	1	6.24327e-14	up
NC_000010.11:46880841	ENSG00000204179.11	PTPN20	chr10	46880841	1	6.71708e-14	up
NC_000010.11:46882298	ENSG00000204179.11	PTPN20	chr10	46882298	1	7.52274e-14	up
NC_000009.12:113081810	ENSG00000136866.14	ZFP37	chr9	113081810	1	7.81735e-14	dn
NC_000021.9:34688374	ENSG00000159212.13	CLIC6	chr21	34688374	2	8.27002e-14	body,enh
NC_000018.10:80032970	ENSG00000141759.15	TXNL4A	chr18	80032970	4	8.7802e-14	body,dn,enh,up
NC_000020.11:31204105	ENSG00000215547.1	DEFB115	chr20	31204105	1	8.85553e-14	up
NC_000006.12:149981728	ENSG00000111981.5	ULBP1	chr6	149981728	2	1.02056e-13	body,dn
NC_000020.11:31225419	ENSG00000215547.1	DEFB115	chr20	31225419	1	1.11453e-13	up
NC_000007.14:65095198	ENSG00000213462.5	ERV3-1	chr7	65095198	1	1.22169e-13	up
NC_000009.12:113087333	ENSG00000136866.14	ZFP37	chr9	113087333	1	1.30412e-13	dn
NC_000009.12:113081629	ENSG00000136866.14	ZFP37	chr9	113081629	1	1.37448e-13	dn
NC_000006.12:149981471	ENSG00000111981.5	ULBP1	chr6	149981471	2	1.39289e-13	body,dn
NC_000009.12:113065509	ENSG00000136866.14	ZFP37	chr9	113065509	1	1.51533e-13	dn
NC_000009.12:113087391	ENSG00000136866.14	ZFP37	chr9	113087391	1	1.63773e-13	dn
NC_000009.12:855292	ENSG00000137090.12	DMRT1	chr9	855292	1	1.81271e-13	body
NC_000009.12:113081548	ENSG00000136866.14	ZFP37	chr9	113081548	1	2.01587e-13	dn
NC_000002.12:3329107	ENSG00000032389.13	EIPR1	chr2	3329107	3	2.0248e-13	body,dn,up
NC_000007.14:48996135	ENSG00000218305.5	CDC14C	chr7	48996135	1	2.02589e-13	dn
NC_000020.11:31189365	ENSG00000215547.1	DEFB115	chr20	31189365	1	2.09819e-13	up
NC_000010.11:46886436	ENSG00000204179.11	PTPN20	chr10	46886436	1	2.18575e-13	up
NC_000011.10:103423064	ENSG00000187240.17	DYNC2H1	chr11	103423064	1	2.4169e-13	body
NC_000004.12:77308669	ENSG00000138764.15	CCNG2	chr4	77308669	1	2.65227e-13	body
NC_000011.10:123322912	ENSG00000023171.20	GRAMD1B	chr11	123322912	2	2.70305e-13	prom,up
NC_000004.12:22430977	ENSG00000152990.14	ADGRA3	chr4	22430977	3	2.79319e-13	body,dn,up
NC_000012.12:9943431	ENSG00000172322.14	CLEC12A	chr12	9943431	1	2.81748e-13	body
NC_000001.11:93822279	ENSG00000137936.18	BCAR3	chr1	93822279	2	2.87242e-13	body,up
NC_000009.12:113081941	ENSG00000136866.14	ZFP37	chr9	113081941	1	2.92587e-13	dn
NC_000021.9:34688433	ENSG00000159212.13	CLIC6	chr21	34688433	2	3.21093e-13	body,enh
NC_000009.12:113086792	ENSG00000136866.14	ZFP37	chr9	113086792	1	3.25316e-13	dn
NC_000017.11:43360601	ENSG00000175906.5	ARL4D	chr17	43360601	3	3.98144e-13	enh,prom,up
NC_000019.10:21565512	ENSG00000197013.11	ZNF429	chr19	21565512	2	4.16894e-13	dn,enh
NC_000004.12:56635823	ENSG00000171476.23	HOPX	chr4	56635823	2	4.44736e-13	enh,up
NC_000002.12:3374250	ENSG00000032389.13	EIPR1	chr2	3374250	3	5.21932e-13	body,dn,up
NC_000020.11:31232011	ENSG00000215547.1	DEFB115	chr20	31232011	1	5.67423e-13	up
NC_000007.14:112066606	ENSG00000128512.24	DOCK4	chr7	112066606	1	5.73488e-13	body
NC_000014.9:56211768	ENSG00000139946.11	PELI2	chr14	56211768	1	7.20385e-13	body
NC_000019.10:21565501	ENSG00000197013.11	ZNF429	chr19	21565501	2	7.68484e-13	dn,enh
NC_000018.10:80038553	ENSG00000101546.13	RBFA	chr18	80038553	2	7.91805e-13	enh,up
NC_000010.11:46851557	ENSG00000204179.11	PTPN20	chr10	46851557	1	7.99823e-13	up
NC_000005.10:181462972	ENSG00000230178.1	OR4F3	chr5	181462972	2	8.43132e-13	prom,up
NC_000001.11:2672085	ENSG00000142606.16	MMEL1	chr1	2672085	3	9.82087e-13	body,dn,up
NC_000009.12:113081368	ENSG00000136866.14	ZFP37	chr9	113081368	1	1.07231e-12	dn
NC_000009.12:113081845	ENSG00000136866.14	ZFP37	chr9	113081845	1	1.09206e-12	dn
NC_000009.12:113081653	ENSG00000136866.14	ZFP37	chr9	113081653	1	1.10133e-12	dn
NC_000007.14:99893369	ENSG00000244623.2	OR2AE1	chr7	99893369	1	1.16051e-12	dn
NC_000011.10:6852366	ENSG00000166363.6	OR10A5	chr11	6852366	1	1.29076e-12	dn
NC_000022.11:16518214	ENSG00000198445.4	CCT8L2	chr22	16518214	1	1.32501e-12	up
NC_000009.12:113081861	ENSG00000136866.14	ZFP37	chr9	113081861	1	1.3545e-12	dn
NC_000001.11:2672327	ENSG00000142606.16	MMEL1	chr1	2672327	3	1.5209e-12	body,dn,up
NC_000009.12:113087311	ENSG00000136866.14	ZFP37	chr9	113087311	1	1.527e-12	dn
NC_000001.11:223058051	ENSG00000187554.15	TLR5	chr1	223058051	1	1.66859e-12	up
NC_000001.11:2679303	ENSG00000142606.16	MMEL1	chr1	2679303	3	1.70183e-12	body,dn,up
NC_000020.11:31230767	ENSG00000215547.1	DEFB115	chr20	31230767	1	1.71673e-12	up
NC_000010.11:49488	ENSG00000261456.6	TUBB8	chr10	49488	1	1.74794e-12	dn
NC_000003.12:125990481	ENSG00000114547.10	ROPN1B	chr3	125990481	2	1.79004e-12	dn,up
NC_000010.11:46851979	ENSG00000204179.11	PTPN20	chr10	46851979	1	1.82501e-12	up
NC_000001.11:152213974	ENSG00000197915.7	HRNR	chr1	152213974	1	2.01027e-12	dn
NC_000008.11:66349146	ENSG00000179041.4	RRS1	chr8	66349146	1	2.02458e-12	up
NC_000009.12:113081891	ENSG00000136866.14	ZFP37	chr9	113081891	1	2.03854e-12	dn
NC_000009.12:113065293	ENSG00000136866.14	ZFP37	chr9	113065293	1	2.23215e-12	dn
NC_000002.12:120854042	ENSG00000074047.22	GLI2	chr2	120854042	1	2.23876e-12	body
NC_000001.11:223120110	ENSG00000187554.15	TLR5	chr1	223120110	2	2.25718e-12	body,up
NC_000003.12:194690499	ENSG00000185112.6	FAM43A	chr3	194690499	1	2.29175e-12	up
NC_000009.12:113087239	ENSG00000136866.14	ZFP37	chr9	113087239	1	2.32528e-12	dn
NC_000021.9:34688340	ENSG00000159212.13	CLIC6	chr21	34688340	2	2.40154e-12	body,enh
NC_000020.11:31054041	ENSG00000215547.1	DEFB115	chr20	31054041	1	2.64434e-12	up
NC_000009.12:113082295	ENSG00000136866.14	ZFP37	chr9	113082295	1	3.26979e-12	dn
NC_000009.12:113087501	ENSG00000136866.14	ZFP37	chr9	113087501	1	3.45874e-12	dn
NC_000018.10:12862127	ENSG00000175354.20	PTPN2	chr18	12862127	3	3.67902e-12	body,dn,up
NC_000003.12:125990914	ENSG00000114547.10	ROPN1B	chr3	125990914	1	3.8946e-12	dn
NC_000010.11:46890969	ENSG00000204179.11	PTPN20	chr10	46890969	1	4.16659e-12	up
NC_000003.12:125990536	ENSG00000114547.10	ROPN1B	chr3	125990536	1	4.76374e-12	dn
NC_000010.11:38830122	ENSG00000283930.1	PLD5P1	chr10	38830122	3	4.99318e-12	body,dn,up
NC_000007.14:100953155	ENSG00000169894.18	MUC3A	chr7	100953155	1	5.09876e-12	body
NC_000005.10:416001	ENSG00000180104.16	EXOC3	chr5	416001	3	5.13075e-12	body,prom,up
NC_000017.11:21732926	ENSG00000260458.3	KCNJ18	chr17	21732926	1	5.20618e-12	dn
NC_000009.12:113065253	ENSG00000136866.14	ZFP37	chr9	113065253	1	5.24901e-12	dn
NC_000003.12:140628923	ENSG00000155890.4	TRIM42	chr3	140628923	1	5.32079e-12	dn
NC_000012.12:87908595	ENSG00000133641.18	RLIG1	chr12	87908595	1	5.32235e-12	up
NC_000009.12:113081977	ENSG00000136866.14	ZFP37	chr9	113081977	1	5.32592e-12	dn
NC_000003.12:125990803	ENSG00000114547.10	ROPN1B	chr3	125990803	1	5.40018e-12	dn
NC_000017.11:43360523	ENSG00000175906.5	ARL4D	chr17	43360523	3	5.53651e-12	enh,prom,up
NC_000004.12:119327431	ENSG00000145384.4	FABP2	chr4	119327431	1	5.96964e-12	dn
NC_000010.11:38831570	ENSG00000283930.1	PLD5P1	chr10	38831570	3	6.09445e-12	body,dn,up
NC_000017.11:21307570	ENSG00000034152.20	MAP2K3	chr17	21307570	1	6.5713e-12	body
NC_000002.12:26178655	ENSG00000157833.13	GAREM2	chr2	26178655	2	6.81318e-12	body,prom
NC_000011.10:123322871	ENSG00000023171.20	GRAMD1B	chr11	123322871	2	6.9298e-12	body,prom
NC_000003.12:125990604	ENSG00000114547.10	ROPN1B	chr3	125990604	1	7.01116e-12	dn
NC_000019.10:21567080	ENSG00000197013.11	ZNF429	chr19	21567080	1	7.01298e-12	dn
NC_000009.12:113087669	ENSG00000136866.14	ZFP37	chr9	113087669	1	7.10401e-12	dn
NC_000009.12:113087035	ENSG00000136866.14	ZFP37	chr9	113087035	1	8.03429e-12	dn
NC_000005.10:181289335	ENSG00000183718.6	TRIM52	chr5	181289335	4	8.461e-12	body,dn,prom,up
NC_000003.12:125990517	ENSG00000114547.10	ROPN1B	chr3	125990517	1	8.87784e-12	dn
