chrom	start	end	effect	n_cpg	n_sv_total	n_samples_with_sv	beta_all	p_all	beta_normal	p_normal
chr1	111452794	111452908	0.84148693	1	310	230	0.02099010713046194	0.9165295265380973	-0.11774867984446785	0.6596934026965489
chr1	119605130	119605335	0.84031624	6	300	300	-0.16117377563130236	0.5338272887644024	-0.01964683967644791	0.9521320019269316
chr14	47618240	47626899	0.8396913	7	16	16	-0.13539413084619156	0.7715248570568674	-0.5106454497819546	0.4077770610600443
chr11	9920777	9921650	0.839346	1	12	12	0.38286059516872106	0.7399523171415601	-0.13674351427994846	0.9159357983378086
chr4	15669039	15673104	0.83426774	1	3	3	0.61468681400694	0.7793718893852127	-1.0216897644993672	0.7172123375816369
chr8	54090006	54090897	0.83339304	2	72	59	0.20828337156885895	0.5871207329964109	0.1568868578538523	0.7428296505964584
chr3	109409684	109411382	0.83002925	1	22	22	0.09149797147690569	0.8788781991368692	0.548885012471025	0.4671569269534269
chr12	82765965	82766629	0.82930744	1	16	16	0.4905768004827349	0.6246343370440401	0.5429519918623125	0.6499183105975255
chr1	115515297	115515964	0.82870257	3	4	4	-1.1152206714950728	0.5012637029864663	-1.229276905969123	0.47429076891544697
chr3	19702287	19702948	0.8283045	1	9	9	-0.4173459527881301	0.7691149625742557	0.886139236543733	0.5917847717642084
chr1	116521533	116531610	0.825912	7	97	95	-0.2553747250366119	0.18467325585026656	-0.3253827167509483	0.15310487421885152
chr5	98846322	98847458	0.8252943	1	0	0	3.359384177473475e-14	0.0	0.0	
chr3	9112554	9113955	0.8251829	4	55	55	-0.24637272469244922	0.42555337575745666	-0.3618963860611749	0.3456628896156215
chr14	47900589	47908939	0.82276875	6	152	141	-0.17700917358386853	0.1700503687969734	-0.024659452700884404	0.874168478148387
chr1	206333447	206333820	0.8226873	1	49	49	-0.2615389567938009	0.6680316351309421	0.17928573518434715	0.8309088446272315
chr15	82066452	82068264	0.82139516	5	2	2	-0.007152474313906421	0.9973867357872095	1.292178219561478	0.6889496997030486
chr11	27358723	27361150	0.82068515	8	147	147	-0.014593646511961378	0.9555631364495729	-0.006667801290109583	0.9837707749797491
chr7	130418332	130419866	0.8199047	1	25	25	-0.9192004651017838	0.2193998554061937	-0.6730394417805476	0.4881948696383209
chr6	140147602	140150317	0.81913084	5	16	15	-0.721181661790802	0.282195942630899	-0.19848978101988052	0.8064136163924411
chr13	98955399	98955922	0.81780785	5	428	317	0.18813681021841874	0.2699012406765986	0.1700180545195424	0.4171446791418898
chr7	106459508	106462339	0.8147992	7	3	3	-2.1358286605323777	0.16529253383236808	-3.7357022252896352	0.06886348589384797
chr6	156749389	156750566	0.81203514	6	9	9	2.147241420379996	0.09673292092695215	2.5680491260095524	0.12233556046019889
chr14	102862470	102864181	0.81157494	2	155	121	-0.26313707347753323	0.28749300801250116	-0.40292822331129685	0.16726034951455476
chr8	39016132	39017412	0.81151104	1	444	330	0.15238896073097702	0.42194697963253436	0.1214247573958617	0.6131349621785808
chr3	124731366	124732587	0.8108243	2	525	337	0.08030810717611397	0.4133603393585362	-0.025972825028291693	0.8329402265777339
chr2	171516883	171517722	0.8108093	4	433	348	-0.34692772766565705	0.0699969471990428	-0.4655926128664898	0.056393156655790234
chr5	100982955	100983540	0.8104204	6	17	17	0.15986448709749923	0.8281228322878857	0.27090458520436256	0.7581951601818877
chr16	69060534	69064198	0.8102767	1	8	8	-0.3293260935816425	0.8043887202227475	0.6320864135935438	0.7777819386609466
chr10	95564404	95566325	0.81003594	4	63	63	0.04598025151409024	0.906200555935452	-0.22414191605679284	0.622905897350795
chr13	109913329	109913846	0.80990726	3	122	121	0.3106791268614236	0.1730642438690133	0.22354863072376416	0.4402241586378881
chr10	96745672	96746994	0.8095515	1	242	226	0.3757760478213582	0.19066768533054607	0.5506468180301953	0.14366801239572943
chr15	49083386	49084768	0.80858874	1	9	9	0.08241260671135608	0.9502900431155227	-0.279342264548911	0.8531633135751564
chr3	74574198	74586902	0.80842364	6	37	37	-0.04308314723917819	0.8927209893751711	0.11099667239915356	0.8073799958535479
chr13	95309891	95310222	0.8061859	2	21	21	0.7588444285277489	0.3212360098714418	0.6674973149047074	0.4587328411684114
chr5	7158136	7162275	0.80432725	1	327	261	0.026453672525283967	0.8929116463469432	0.2715472197989719	0.26017821987673745
chr4	110111779	110112436	0.80409884	2	407	345	-0.04400903756271762	0.8278170144687932	-0.02181347955448526	0.9320870352284599
chr18	50602165	50602744	0.8030435	2	4	4	-0.48232230014786526	0.7706862891584941	0.9744008484970463	0.6269748866824254
chr5	39102933	39103170	0.80282295	1	51	51	-0.4710664216022368	0.4116388822085306	-0.6473638180020471	0.3517545827388532
chr9	72518996	72523164	0.8027845	3	124	116	-0.22434423548725815	0.5358549272375732	-0.3020824125462145	0.5177511253919318
chr1	56580733	56581906	0.8020425	1	90	76	0.9832281739645983	0.009423428374798332	1.5951988352806383	0.0016625355287522394
chr5	175530971	175532295	0.80202454	1	3	3	-1.4257539803510886	0.5244694297150503	-0.9148194092359265	0.7463805322685871
chr11	86205565	86212377	0.8018302	29	363	337	0.4463599891391203	0.023506693341931714	0.5082036830563909	0.0443046906609531
chr7	43193246	43194372	0.80087173	7	135	135	-0.2593329798799482	0.23134163554626802	-0.43770957092634644	0.10832457170186092
chr12	28425508	28433140	0.80031055	3	2	2	1.1623103939888941	0.6006171630623627	1.3718207357996746	0.5552443503908776
chr18	25378859	25379350	0.79979557	2	56	56	-0.004114033549799667	0.9926310415699227	-0.08573965949693957	0.8805061321350593
chr7	112699661	112700578	0.7996353	1	115	114	0.017508029939246245	0.9595373703425878	-0.10570511073695889	0.8079742498661773
chr6	143990695	143990812	0.79953504	2	30	27	0.05365512527246824	0.9189356868599419	-0.7169835925287025	0.3396415559615876
chr1	167161385	167161601	0.7991022	1	3	3	3.711808451463291	0.0940652478692416	3.5570678353867864	0.2055738595767085
chr14	41597218	41598139	0.79908824	1	30	30	-0.18733366545196795	0.7940157418841146	-0.8452271982298565	0.4104389972260667
chr7	93327163	93327712	0.79864347	2	304	222	0.3762035096612405	0.035890779984699264	0.32724524027003044	0.18700348501499187
chr9	2279348	2281907	0.7981079	11	685	462	0.1781707376450538	0.035059047991029074	0.28539348827756184	0.009263518405365682
chr5	170701732	170703287	0.7977012	8	108	95	0.2530799362793386	0.16568618347210365	0.1868477753598419	0.4187068384526217
chr22	24659806	24665115	0.7964554	9	232	206	0.014388374804720272	0.9261016600063673	0.06983807517370627	0.7353585324203558
chr13	33643290	33643629	0.7963824	2	22	22	-0.5544843378749594	0.46357056297298027	-1.0149233508003317	0.27084684860364244
chr12	106016111	106017401	0.795852	6	100	95	0.06000319098356166	0.818495870340127	-0.024228233231483348	0.942014447556183
chr4	113285051	113286423	0.79521596	3	74	69	0.39594265205103396	0.1689198234843418	0.7426752702040805	0.05032758813495922
chr2	173815904	173816660	0.7950695	4	205	192	-0.2707431650269594	0.3212629292759078	-0.05376614198798449	0.877832169530035
chr11	45429444	45429963	0.7950111	8	105	105	0.3016442083065044	0.12312658432794721	0.2000009012147328	0.3988074955633162
chr4	174378866	174381191	0.7948112	4	680	468	0.051549107723626524	0.6424990840446851	0.053553064388114774	0.6879895109806133
chr9	91309886	91314129	0.7946675	1	173	112	0.4219469853011756	0.05739792940549977	0.5996369979334264	0.042118357262864614
chr1	150925375	150925995	0.7936627	3	21	21	-0.5446221099227233	0.4495267503302922	-0.4864624693037167	0.6521803061149845
chr13	77028340	77030043	0.7930987	5	3	3	1.7216172482804613	0.27420859769426453	1.8809629836848498	0.2699076446615326
chr2	230710958	230711784	0.7926348	2	38	37	-0.2861481819249284	0.5645127228698152	-0.1910683941498495	0.742874587701736
chr3	64672900	64673548	0.79246867	6	8	8	0.15666134752446592	0.8743720524762502	0.7077026440116501	0.6248604248605434
chr18	6928952	6930357	0.7923684	1	113	110	-0.041292432431574766	0.9275839650972221	-0.23042361244021548	0.6745769160519968
chr13	105036425	105044186	0.7918449	4	4	4	0.2738525222478068	0.7822186973647463	0.46108690572919825	0.748131285208347
chr4	78001661	78003424	0.7916693	17	45	45	-0.17508052373961336	0.7477093609767351	-0.6397918134424583	0.3690054583181108
chr2	39547950	39549634	0.79156375	1	70	70	-0.15365749121159233	0.751009231257998	0.28800692915912796	0.6021794012835877
chr1	207865019	207865527	0.79148763	3	111	107	-0.30380346378255607	0.33989496489824944	-0.25369509498363296	0.5355046782217388
chr17	47403327	47405792	0.7912704	1	226	213	0.13592952075870313	0.6489805855191499	0.052636473894911356	0.8906773570979527
chr4	148951530	148952027	0.7910098	3	29	29	0.20899743837214396	0.5400877137762214	0.5109623968285874	0.20397828320825132
chr12	65889307	65890710	0.7905906	3	331	326	0.17813411311090943	0.2024881585022724	0.0005150777813590565	0.9976750799292586
chr6	10211437	10213071	0.7904348	4	396	301	-0.14943013292582308	0.2732958425626693	-0.25210322709103344	0.12970890498401813
chr14	97685509	97687412	0.7898474	5	3	3	2.732212785153022	0.0778099353272585	2.5924164216292898	0.11472459265135461
chr8	122699271	122699550	0.7897436	3	1	1	2.062170693532177	0.2924080621958331	0.0	
chr11	14382106	14382225	0.7896192	2	228	206	-0.08654479550686991	0.7335180684049953	-0.12763621512193757	0.6719587376449943
chr13	78164228	78165081	0.78961676	1	199	168	-0.2628448400449048	0.31812812349800623	-0.4873614979492788	0.12948907632921614
chr2	61889383	61890142	0.7893567	4	80	66	0.09657236778829678	0.7730411723966483	0.5420791851228457	0.20758183646572353
chr1	175341326	175342004	0.78930825	5	483	404	-0.012635021854717057	0.947286511384108	0.11117664579585032	0.6411022351963696
chr12	94625278	94626121	0.7884227	5	145	143	0.4986573349881972	0.06624615404440806	0.46367025125991357	0.17880174440224347
chr18	3235786	3237049	0.7877064	3	128	119	-0.017541715933311358	0.9488350718039928	-0.17669845870247103	0.5924878331968961
chr17	20321028	20322552	0.7873759	2	23	23	-0.5788411551716979	0.4773101585600954	-0.6700574205137704	0.4758891365997431
chr1	55866158	55867485	0.78723496	2	64	59	-0.18608567157176287	0.6123923772801125	-0.4266225804145957	0.3453897783542421
chr8	29184582	29185898	0.7869241	4	12	12	-1.0729254158966088	0.17519535581561738	-1.2283904233110379	0.1783726337441529
chr5	163089786	163091892	0.7869213	1	332	235	-0.06977199275355771	0.7178316007030676	-0.02153085192060139	0.9238135708226554
chr6	129545013	129548793	0.7868687	4	421	346	0.276137001564901	0.051809244864881324	0.2221418873838592	0.21524580617488623
chr1	202927957	202929348	0.7865838	10	128	126	0.2775973893569365	0.36055794889856596	0.21841898776792568	0.5645780489189249
chr11	108786381	108786496	0.7864035	1	5	5	0.6801827308794489	0.7248691576175135	1.8052381745028523	0.41421206568589153
chr20	15596836	15597571	0.78634083	2	407	352	0.031826578030542174	0.8852414934124474	0.08286851541909615	0.7708443855652598
chr6	123076418	123084576	0.78621125	14	5	5	0.2991483042212322	0.6934035712148012	0.8354345530450751	0.3566471405640843
chr2	97017318	97059703	0.7860504	39	45	44	-0.1535638872475356	0.5417143734150731	-0.20297115526303935	0.546777565127847
chr21	17495777	17511146	0.78604984	25	358	289	0.14465094242405693	0.0994596539169344	0.18039361135012166	0.10920027395168323
chr3	43685916	43686198	0.7859048	1	12	11	0.14779128746030687	0.8719551835095318	0.18737365083536467	0.8663978268268018
chr4	72958663	72960007	0.78590095	1	224	195	0.07661781139567976	0.7635412211532688	0.10305925559640072	0.758156166408125
chr11	17078856	17079861	0.7857038	2	112	104	0.09246698146518456	0.8108121166831982	-0.08181554461812379	0.8726946852203378
chr7	41378086	41378311	0.7853667	1	5	5	1.3460117014491413	0.4215152877377528	1.314866044353781	0.4513241588259903
chr18	1404564	1408048	0.78528535	18	19	19	0.4534125613481533	0.5494322673669874	0.368360584074722	0.6770890126947258
chr13	38192528	38196671	0.7851552	2	44	44	0.01384979113845819	0.9755574111732448	0.5206776171672386	0.3535284454494767
chr3	81557053	81557337	0.78506196	1	2	2	3.0131874987594527	0.26849049457847873	2.8391169012378414	0.3190763697926529
