gene	gene_class	any_abnormal_n	any_abnormal_rate	any_normal_n	any_normal_rate	any_control_n	any_control_rate	any_rate_ab_minus_normal	any_rate_ab_minus_control	exon_abnormal_n	exon_abnormal_rate	exon_normal_n	exon_normal_rate	exon_control_n	exon_control_rate	exon_rate_ab_minus_normal	exon_rate_ab_minus_control	acmg4_abnormal_n	acmg4_abnormal_rate	acmg4_normal_n	acmg4_normal_rate	acmg4_control_n	acmg4_control_rate	acmg4_rate_ab_minus_normal	acmg4_rate_ab_minus_control
SP100	chromatin_remodeling	20	0.425531914893617	234	0.5223214285714286	78	0.5098039215686274	-0.09678951367781158	-0.08427200667501039	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
KDM4B	histone_erase	19	0.40425531914893614	79	0.17633928571428573	41	0.2679738562091503	0.22791603343465042	0.13628146293978582	19	0.40425531914893614	78	0.17410714285714285	41	0.2679738562091503	0.2301481762917933	0.13628146293978582	0	0.0	0	0.0	0	0.0	0.0	0.0
PRDM16	histone_write	19	0.40425531914893614	232	0.5178571428571429	83	0.5424836601307189	-0.11360182370820676	-0.13822834098178277	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
TOP2B	chromatin_remodeling	19	0.40425531914893614	188	0.41964285714285715	84	0.5490196078431373	-0.015387537993921008	-0.14476428869420116	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
CHD7	chromatin_remodeling	18	0.3829787234042553	208	0.4642857142857143	70	0.45751633986928103	-0.08130699088145898	-0.07453761646502571	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
HAT1	histone_write	18	0.3829787234042553	174	0.38839285714285715	38	0.24836601307189543	-0.005414133738601834	0.1346127103323599	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
ZNF516	histone_erase	18	0.3829787234042553	155	0.34598214285714285	46	0.3006535947712418	0.03699658054711247	0.0823251286330135	0	0.0	0	0.0	1	0.006535947712418301	0.0	-0.006535947712418301	0	0.0	0	0.0	0	0.0	0.0	0.0
ARID4B	histone_write	17	0.3617021276595745	187	0.4174107142857143	67	0.43790849673202614	-0.05570858662613981	-0.07620636907245165	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
CECR2	histone_read	17	0.3617021276595745	172	0.38392857142857145	67	0.43790849673202614	-0.022226443768996962	-0.07620636907245165	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
RBFOX1	rna_modification	17	0.3617021276595745	162	0.36160714285714285	52	0.33986928104575165	9.498480243164131e-05	0.021832846613822843	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
CREBBP	histone_write	16	0.3404255319148936	126	0.28125	51	0.3333333333333333	0.05917553191489361	0.007092198581560294	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
PRKCB	histone_write	16	0.3404255319148936	164	0.36607142857142855	52	0.33986928104575165	-0.02564589665653494	0.000556250869141961	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
CTBP1	chromatin_remodeling	14	0.2978723404255319	128	0.2857142857142857	54	0.35294117647058826	0.012158054711246202	-0.05506883604505636	14	0.2978723404255319	128	0.2857142857142857	54	0.35294117647058826	0.012158054711246202	-0.05506883604505636	0	0.0	0	0.0	0	0.0	0.0	0.0
APOBEC3A	dna_modification	14	0.2978723404255319	101	0.22544642857142858	40	0.26143790849673204	0.07242591185410333	0.03643443192879986	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
JARID2	histone_write	14	0.2978723404255319	168	0.375	48	0.3137254901960784	-0.0771276595744681	-0.015853149770546526	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
CIT	histone_write	13	0.2765957446808511	86	0.19196428571428573	32	0.20915032679738563	0.08463145896656535	0.06744541788346545	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
KDM4C	histone_erase	13	0.2765957446808511	93	0.20758928571428573	35	0.22875816993464052	0.06900645896656535	0.04783757474621056	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
KDM5B	histone_erase	13	0.2765957446808511	172	0.38392857142857145	68	0.4444444444444444	-0.10733282674772038	-0.16784869976359335	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
NCOA1	histone_write	11	0.23404255319148937	134	0.29910714285714285	42	0.27450980392156865	-0.06506458966565348	-0.040467250730079285	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
APOBEC3D	dna_modification	10	0.2127659574468085	79	0.17633928571428573	30	0.19607843137254902	0.036426671732522786	0.016687526074259496	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
EHMT1	histone_write	10	0.2127659574468085	27	0.060267857142857144	9	0.058823529411764705	0.15249810030395136	0.15394242803504382	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
EYA1	histone_erase	9	0.19148936170212766	60	0.13392857142857142	20	0.13071895424836602	0.057560790273556234	0.06077040745376164	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
PRMT8	histone_write	9	0.19148936170212766	66	0.14732142857142858	23	0.1503267973856209	0.04416793313069908	0.04116256431650675	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
PBRM1	histone_read	7	0.14893617021276595	60	0.13392857142857142	26	0.16993464052287582	0.015007598784194526	-0.020998470310109874	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
PRDM5	histone_write	7	0.14893617021276595	54	0.12053571428571429	22	0.1437908496732026	0.028400455927051663	0.005145320539563347	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
PBK	histone_write	6	0.1276595744680851	41	0.09151785714285714	20	0.13071895424836602	0.03614171732522796	-0.003059379780280924	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
HDAC9	histone_erase	5	0.10638297872340426	34	0.07589285714285714	8	0.05228758169934641	0.03049012158054712	0.05409539702405785	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
HIRA	histone_read	5	0.10638297872340426	35	0.078125	13	0.08496732026143791	0.028257978723404256	0.021415658461966344	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
PRDM11	histone_write	5	0.10638297872340426	32	0.07142857142857142	6	0.0392156862745098	0.03495440729483283	0.06716729244889445	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
SUV39H2	histone_write	5	0.10638297872340426	81	0.18080357142857142	30	0.19607843137254902	-0.07442059270516717	-0.08969545264914476	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
UBE2D3	histone_write	5	0.10638297872340426	81	0.18080357142857142	23	0.1503267973856209	-0.07442059270516717	-0.04394381866221665	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
UIMC1	histone_read	5	0.10638297872340426	38	0.08482142857142858	15	0.09803921568627451	0.02156155015197568	0.008343763037129748	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
MBTD1	polycomb	4	0.0851063829787234	37	0.08258928571428571	8	0.05228758169934641	0.00251709726443769	0.032818801279376995	4	0.0851063829787234	37	0.08258928571428571	8	0.05228758169934641	0.00251709726443769	0.032818801279376995	0	0.0	0	0.0	0	0.0	0.0	0.0
FOXP1	tf	4	0.0851063829787234	33	0.07366071428571429	9	0.058823529411764705	0.011445668693009114	0.026282853566958697	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
SUPT6H	histone_erase	4	0.0851063829787234	10	0.022321428571428572	5	0.032679738562091505	0.06278495440729483	0.0524266444166319	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
TAF4	histone_chaperone	4	0.0851063829787234	40	0.08928571428571429	12	0.0784313725490196	-0.0041793313069908855	0.0066750104297037954	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
APOBEC3H	dna_modification	3	0.06382978723404255	21	0.046875	9	0.058823529411764705	0.016954787234042548	0.005006257822277843	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
BRCA1	histone_write	3	0.06382978723404255	38	0.08482142857142858	19	0.12418300653594772	-0.020991641337386027	-0.06035321930190517	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
RBM25	rna_modification	3	0.06382978723404255	23	0.05133928571428571	7	0.0457516339869281	0.012490501519756836	0.018078153247114447	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
SUPT3H	histone_write	3	0.06382978723404255	26	0.05803571428571429	8	0.05228758169934641	0.0057940729483282605	0.011542205534696141	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
BRD1	histone_read	2	0.0425531914893617	15	0.033482142857142856	4	0.026143790849673203	0.009071048632218845	0.016409400639688498	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
EYA4	histone_erase	2	0.0425531914893617	22	0.049107142857142856	12	0.0784313725490196	-0.006553951367781155	-0.035878181059657906	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
TADA2A	histone_read	2	0.0425531914893617	18	0.04017857142857143	5	0.032679738562091505	0.0023746200607902695	0.009873452927270196	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
ZBTB7C	histone_other	2	0.0425531914893617	11	0.024553571428571428	8	0.05228758169934641	0.017999620060790273	-0.009734390209984706	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
ASXL2	histone_read	1	0.02127659574468085	0	0.0	0	0.0	0.02127659574468085	0.02127659574468085	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
BRWD3	histone_read	1	0.02127659574468085	1	0.002232142857142857	0	0.0	0.019044452887537994	0.02127659574468085	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
DOT1L	histone_write	1	0.02127659574468085	1	0.002232142857142857	0	0.0	0.019044452887537994	0.02127659574468085	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
ELP4	histone_write	1	0.02127659574468085	0	0.0	1	0.006535947712418301	0.02127659574468085	0.014740648032262549	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
ERBB4	histone_other	1	0.02127659574468085	30	0.06696428571428571	9	0.058823529411764705	-0.04568768996960486	-0.03754693366708385	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
GFI1B	histone_other	1	0.02127659574468085	3	0.006696428571428571	4	0.026143790849673203	0.014580167173252279	-0.004867195104992353	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
HMGB1	chromatin_remodeling	1	0.02127659574468085	20	0.044642857142857144	3	0.0196078431372549	-0.023366261398176293	0.0016687526074259489	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
MAPKAPK3	chromatin_remodeling	1	0.02127659574468085	1	0.002232142857142857	1	0.006535947712418301	0.019044452887537994	0.014740648032262549	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
MIS18BP1	chromatin_remodeling	1	0.02127659574468085	15	0.033482142857142856	6	0.0392156862745098	-0.012205547112462006	-0.017939090529828953	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
PHF20	histone_write	1	0.02127659574468085	0	0.0	0	0.0	0.02127659574468085	0.02127659574468085	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
SP140	histone_read	1	0.02127659574468085	16	0.03571428571428571	4	0.026143790849673203	-0.014437689969604862	-0.004867195104992353	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
SRRM4	rna_modification	1	0.02127659574468085	13	0.029017857142857144	5	0.032679738562091505	-0.007741261398176293	-0.011403142817410655	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
TRIM33	histone_read	1	0.02127659574468085	5	0.011160714285714286	2	0.013071895424836602	0.010115881458966565	0.008204700319844249	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
UBE2B	histone_write	1	0.02127659574468085	6	0.013392857142857142	4	0.026143790849673203	0.007883738601823708	-0.004867195104992353	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
ZMYND11	histone_read	1	0.02127659574468085	6	0.013392857142857142	4	0.026143790849673203	0.007883738601823708	-0.004867195104992353	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
APOBEC3F	dna_modification	0	0.0	1	0.002232142857142857	0	0.0	-0.002232142857142857	0.0	0	0.0	1	0.002232142857142857	0	0.0	-0.002232142857142857	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
ARID1B	histone_write	0	0.0	2	0.004464285714285714	1	0.006535947712418301	-0.004464285714285714	-0.006535947712418301	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
BANP	histone_write	0	0.0	5	0.011160714285714286	1	0.006535947712418301	-0.011160714285714286	-0.006535947712418301	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
BAZ2B	histone_read	0	0.0	1	0.002232142857142857	0	0.0	-0.002232142857142857	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
BCOR	polycomb	0	0.0	2	0.004464285714285714	0	0.0	-0.004464285714285714	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
BRD8	histone_read	0	0.0	46	0.10267857142857142	17	0.1111111111111111	-0.10267857142857142	-0.1111111111111111	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
CBX1	histone_read	0	0.0	1	0.002232142857142857	0	0.0	-0.002232142857142857	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
CDK17	histone_write	0	0.0	2	0.004464285714285714	1	0.006535947712418301	-0.004464285714285714	-0.006535947712418301	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	1	0.002232142857142857	1	0.006535947712418301	-0.002232142857142857	-0.006535947712418301
CELF1	rna_modification	0	0.0	0	0.0	1	0.006535947712418301	0.0	-0.006535947712418301	0	0.0	0	0.0	1	0.006535947712418301	0.0	-0.006535947712418301	0	0.0	0	0.0	0	0.0	0.0	0.0
CELF2	rna_modification	0	0.0	1	0.002232142857142857	1	0.006535947712418301	-0.002232142857142857	-0.006535947712418301	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
CHD3	chromatin_remodeling	0	0.0	24	0.05357142857142857	7	0.0457516339869281	-0.05357142857142857	-0.0457516339869281	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
CHD4	chromatin_remodeling	0	0.0	0	0.0	1	0.006535947712418301	0.0	-0.006535947712418301	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
CHD9	chromatin_remodeling	0	0.0	16	0.03571428571428571	8	0.05228758169934641	-0.03571428571428571	-0.05228758169934641	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
CTCFL	chromatin_remodeling	0	0.0	1	0.002232142857142857	0	0.0	-0.002232142857142857	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
EYA2	histone_erase	0	0.0	18	0.04017857142857143	10	0.06535947712418301	-0.04017857142857143	-0.06535947712418301	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
FOXO1	tf	0	0.0	1	0.002232142857142857	0	0.0	-0.002232142857142857	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
GATAD2A	histone_read	0	0.0	1	0.002232142857142857	0	0.0	-0.002232142857142857	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
KDM6A	histone_erase	0	0.0	2	0.004464285714285714	0	0.0	-0.004464285714285714	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
KMT2C	histone_write	0	0.0	6	0.013392857142857142	1	0.006535947712418301	-0.013392857142857142	-0.006535947712418301	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
MAX	histone_write	0	0.0	0	0.0	1	0.006535947712418301	0.0	-0.006535947712418301	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
MBNL1	rna_modification	0	0.0	1	0.002232142857142857	0	0.0	-0.002232142857142857	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
MLLT1	chromatin_remodeling	0	0.0	1	0.002232142857142857	0	0.0	-0.002232142857142857	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
MTA3	chromatin_remodeling	0	0.0	9	0.020089285714285716	3	0.0196078431372549	-0.020089285714285716	-0.0196078431372549	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
PHF8	histone_erase	0	0.0	0	0.0	1	0.006535947712418301	0.0	-0.006535947712418301	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
POGZ	histone_read	0	0.0	0	0.0	1	0.006535947712418301	0.0	-0.006535947712418301	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
PRKAG2	histone_write	0	0.0	1	0.002232142857142857	0	0.0	-0.002232142857142857	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
PRKCA	histone_write	0	0.0	0	0.0	1	0.006535947712418301	0.0	-0.006535947712418301	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
RAD54L2	chromatin_remodeling	0	0.0	0	0.0	1	0.006535947712418301	0.0	-0.006535947712418301	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
RAG1	histone_write	0	0.0	1	0.002232142857142857	0	0.0	-0.002232142857142857	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
RCOR1	histone_erase	0	0.0	2	0.004464285714285714	0	0.0	-0.004464285714285714	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
RCOR3	histone_erase	0	0.0	0	0.0	1	0.006535947712418301	0.0	-0.006535947712418301	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
RNF2	histone_write	0	0.0	1	0.002232142857142857	0	0.0	-0.002232142857142857	0.0	0	0.0	1	0.002232142857142857	0	0.0	-0.002232142857142857	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
SETD2	histone_write	0	0.0	1	0.002232142857142857	0	0.0	-0.002232142857142857	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
SFSWAP	rna_modification	0	0.0	0	0.0	1	0.006535947712418301	0.0	-0.006535947712418301	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
SMARCA2	histone_read	0	0.0	1	0.002232142857142857	0	0.0	-0.002232142857142857	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
TRIM16	histone_write	0	0.0	2	0.004464285714285714	0	0.0	-0.004464285714285714	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
TRIM24	histone_read	0	0.0	1	0.002232142857142857	0	0.0	-0.002232142857142857	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
USP7	dna_modification	0	0.0	1	0.002232142857142857	0	0.0	-0.002232142857142857	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
YAF2	chromatin_remodeling	0	0.0	1	0.002232142857142857	0	0.0	-0.002232142857142857	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
ZMYND8	histone_erase	0	0.0	1	0.002232142857142857	0	0.0	-0.002232142857142857	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
ZRANB3	chromatin_remodeling	0	0.0	1	0.002232142857142857	0	0.0	-0.002232142857142857	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
