gene	class	priority	epifactors_function	modification	target	complex_name	source	match_rule
CHD4	chromatin_remodeling	2	Chromatin remodeling	#	DNA	NuRD	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
CHD5	chromatin_remodeling	2	Chromatin remodeling	#	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
CHD6	chromatin_remodeling	2	Chromatin remodeling	#	chromatin	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
CHD7	chromatin_remodeling	2	Chromatin remodeling	#	chromatin	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
CHD8	chromatin_remodeling	2	Chromatin remodeling	#	chromatin	CHD8, MLL2/3, MLL4/WBP7	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
CHD9	chromatin_remodeling	2	Chromatin remodeling	#	DNA	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
CTBP1	chromatin_remodeling	2	Chromatin remodeling	#	chromatin	LSD-CoREST	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
CTCF	chromatin_remodeling	2	Chromatin remodeling, TF	TF activator	DNA	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
CTCFL	chromatin_remodeling	2	Chromatin remodeling	#	DNA	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
CUL1	chromatin_remodeling	2	Chromatin remodeling cofactor	#	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
CUL2	chromatin_remodeling	2	Chromatin remodeling cofactor	#	chromatin	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
CXXC1	chromatin_remodeling	2	Chromatin remodeling, TF	#	DNA	COMPASS	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
DEK	chromatin_remodeling	2	Chromatin remodeling	#	histone	B-WICH	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
DMAP1	chromatin_remodeling	2	Chromatin remodeling	#	chromatin	NuA4, NuA4-related complex, SRCAP	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
DNTTIP2	chromatin_remodeling	2	Chromatin remodeling	#	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
DPF1	chromatin_remodeling	2	Chromatin remodeling cofactor	#	chromatin	nBAF, SWI/SNF BRM-BRG1	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
DPF2	chromatin_remodeling	2	Chromatin remodeling	#	histone, DNA	SWI/SNF BRM-BRG1	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
DPF3	chromatin_remodeling	2	Chromatin remodeling	#	histone	BAF, nBAF, SWI/SNF BRM-BRG1	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
EP400	chromatin_remodeling	2	Chromatin remodeling, Histone modification write	Histone acetylation	histone	SWR, NuA4, NuA4-related complex	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
EPC2	chromatin_remodeling	2	Chromatin remodeling	#	chromatin	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
ERCC6	chromatin_remodeling	2	Chromatin remodeling	#	chromatin	B-WICH	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
FOXA1	chromatin_remodeling	2	Chromatin remodeling, TF	#	chromatin, DNA	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
GADD45A	chromatin_remodeling	2	Chromatin remodeling	#	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
GADD45B	chromatin_remodeling	2	Chromatin remodeling	#	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
GADD45G	chromatin_remodeling	2	Chromatin remodeling	#	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
GFI1	chromatin_remodeling	2	Chromatin remodeling	#	#	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
HCFC1	chromatin_remodeling	2	Chromatin remodeling	#	chromatin	NSL, COMPASS, MLL-HCF, CHD8, MLL2/3, COMPASS-like MLL1,2, MLL4/WBP7	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
HDGF	chromatin_remodeling	2	Chromatin remodeling, TF	TF repressor	DNA	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
HELLS	chromatin_remodeling	2	Chromatin remodeling	#	chromatin	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
HLTF	chromatin_remodeling	2	Chromatin remodeling cofactor	#	chromatin	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
HMG20A	chromatin_remodeling	2	Chromatin remodeling cofactor	#	histone	LSD-CoREST	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
HMG20B	chromatin_remodeling	2	Chromatin remodeling	#	DNA	BHC, LSD-CoREST	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
HMGB1	chromatin_remodeling	2	Chromatin remodeling	#	chromatin	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
HMGN1	chromatin_remodeling	2	Chromatin remodeling	#	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
HMGN2	chromatin_remodeling	2	Chromatin remodeling	#	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
HMGN3	chromatin_remodeling	2	Chromatin remodeling	#	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
HMGN4	chromatin_remodeling	2	Chromatin remodeling	#	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
HMGN5	chromatin_remodeling	2	Chromatin remodeling	#	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
HP1BP3	chromatin_remodeling	2	Chromatin remodeling	#	chromatin	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
IKZF1	chromatin_remodeling	2	Chromatin remodeling, TF	#	DNA	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
ING3	chromatin_remodeling	2	Chromatin remodeling, Histone modification write cofactor	Histone acetylation	histone	SWR, NuA4, Piccolo_NuA4	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
INO80	chromatin_remodeling	2	Chromatin remodeling	#	DNA	Ino80	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
INO80B	chromatin_remodeling	2	Chromatin remodeling cofactor	#	chromatin	Ino80	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
INO80C	chromatin_remodeling	2	Chromatin remodeling cofactor	#	chromatin	Ino80, CHD8, MLL2/3, MLL4/WBP7	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
INO80D	chromatin_remodeling	2	Chromatin remodeling cofactor	#	chromatin	Ino80	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
INO80E	chromatin_remodeling	2	Chromatin remodeling cofactor	#	chromatin	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
JDP2	chromatin_remodeling	2	Chromatin remodeling, Histone modification erase cofactor	Histone acetylation	DNA	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
KEAP1	chromatin_remodeling	2	Chromatin remodeling	#	chromatin	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
LRWD1	chromatin_remodeling	2	Chromatin remodeling	#	histone, DNA	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
MAPKAPK3	chromatin_remodeling	2	Chromatin remodeling	#	chromatin	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
MAZ	chromatin_remodeling	2	Chromatin remodeling	#	chromatin	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
MBD5	chromatin_remodeling	2	Chromatin remodeling	#	chromatin	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
MBD6	chromatin_remodeling	2	Chromatin remodeling	#	chromatin	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
MIS18A	chromatin_remodeling	2	Chromatin remodeling	#	histone	Mis18	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
MIS18BP1	chromatin_remodeling	2	Chromatin remodeling	#	histone	Mis18	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
MLLT1	chromatin_remodeling	2	Chromatin remodeling cofactor	#	chromatin	SWI/SNF-like_EPAFa, SWI/SNF-like EPAFB	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
MTA1	chromatin_remodeling	2	Chromatin remodeling cofactor	#	chromatin	NuRD	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
MTA3	chromatin_remodeling	2	Chromatin remodeling cofactor	#	chromatin	NuRD	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
MYBBP1A	chromatin_remodeling	2	Chromatin remodeling cofactor	#	chromatin	B-WICH	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
MYO1C	chromatin_remodeling	2	Chromatin remodeling cofactor	#	chromatin	B-WICH	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
NASP	chromatin_remodeling	2	Chromatin remodeling	#	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
NBN	chromatin_remodeling	2	Chromatin remodeling	#	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
NCOA2	chromatin_remodeling	2	Chromatin remodeling cofactor	#	chromatin	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
NFRKB	chromatin_remodeling	2	Chromatin remodeling cofactor, TF	#	DNA	Ino80	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
NFYB	chromatin_remodeling	2	Chromatin remodeling, TF	TF activator	DNA	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
NOC2L	chromatin_remodeling	2	Chromatin remodeling, TF	TF repressor	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
NPAS2	chromatin_remodeling	2	Chromatin remodeling, TF	TF activator	DNA	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
OIP5	chromatin_remodeling	2	Chromatin remodeling	#	histone	Mis18	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
PARG	chromatin_remodeling	2	Chromatin remodeling	#	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
PARP1	chromatin_remodeling	2	Chromatin remodeling	#	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
PARP2	chromatin_remodeling	2	Chromatin remodeling cofactor	#	#	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
PCNA	chromatin_remodeling	2	Chromatin remodeling	#	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
PHF10	chromatin_remodeling	2	Chromatin remodeling	#	chromatin	npBAF, SWI/SNF BRM-BRG1	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
PHF19	chromatin_remodeling	2	Chromatin remodeling, Histone modification write cofactor	Histone acetylation	histone	PRC2	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
PIWIL4	chromatin_remodeling	2	Chromatin remodeling, Histone modification erase cofactor	Histone methylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
PPM1G	chromatin_remodeling	2	Chromatin remodeling	#	chromatin	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
PSIP1	chromatin_remodeling	2	Chromatin remodeling	#	chromatin	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
RAD54B	chromatin_remodeling	2	Chromatin remodeling	#	chromatin	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
RAD54L	chromatin_remodeling	2	Chromatin remodeling	#	chromatin	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
RAD54L2	chromatin_remodeling	2	Chromatin remodeling	#	chromatin	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
RAI1	chromatin_remodeling	2	Chromatin remodeling	#	chromatin	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
RB1	chromatin_remodeling	2	Chromatin remodeling, Histone modification write	Histone ubiquitination	histone	CREST-BRG1, L3MBTL1	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
RCC1	chromatin_remodeling	2	Chromatin remodeling	#	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
RUVBL1	chromatin_remodeling	2	Chromatin remodeling, Histone modification write	Histone phosphorylation	chromatin	Ino80, SWR, NuA4, NuA4-related complex, CHD8, MLL2/3, MLL4/WBP7, SRCAP	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
RUVBL2	chromatin_remodeling	2	Chromatin remodeling cofactor	#	chromatin	Ino80, SWR, NuA4, NuA4-related complex, CHD8, MLL2/3, MLL4/WBP7, SRCAP	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
SAFB	chromatin_remodeling	2	Chromatin remodeling	#	chromatin	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
SATB1	chromatin_remodeling	2	Chromatin remodeling cofactor	#	chromatin	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
SATB2	chromatin_remodeling	2	Chromatin remodeling cofactor	#	chromatin	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
SETD6	chromatin_remodeling	2	Chromatin remodeling, Histone modification write	Histone methylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
SFPQ	chromatin_remodeling	2	Chromatin remodeling cofactor, RNA modification, TF	TF repressor	DNA, RNA	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
SMARCA1	chromatin_remodeling	2	Chromatin remodeling, Histone modification erase	Histone acetylation	chromatin	NuRF, CERF, CERF	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
SMARCA5	chromatin_remodeling	2	Chromatin remodeling	#	chromatin	ACF, B-WICH, RSF, CHRAC, NoRC	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
SMARCAD1	chromatin_remodeling	2	Chromatin remodeling	#	chromatin	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
SMARCAL1	chromatin_remodeling	2	Chromatin remodeling	#	chromatin	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
SMARCC1	chromatin_remodeling	2	Chromatin remodeling cofactor	#	chromatin	BAF, nBAF, npBAF, PBAF, SWI/SNF_Brg1(I), SWI/SNF_Brg1(II), SWI/SNF_Brm, SWI/SNF-like_EPAFa, WINAC, SWI/SNF-like EPAFB, bBAF, SWI/SNF BRM-BRG1	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
SMARCC2	chromatin_remodeling	2	Chromatin remodeling cofactor	#	chromatin	BAF, nBAF, npBAF, PBAF, SWI/SNF_Brg1(I), SWI/SNF_Brg1(II), SWI/SNF_Brm, SWI/SNF-like_EPAFa, WINAC, SWI/SNF-like EPAFB, bBAF, SWI/SNF BRM-BRG1	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
SMARCD1	chromatin_remodeling	2	Chromatin remodeling	#	chromatin	BAF, nBAF, npBAF, PBAF, SWI/SNF_Brg1(I), SWI/SNF_Brm, SWI/SNF-like_EPAFa, WINAC, SWI/SNF-like EPAFB, SWI/SNF BRM-BRG1	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
SMARCD2	chromatin_remodeling	2	Chromatin remodeling cofactor	#	chromatin	BAF, PBAF, SWI/SNF_Brg1(I), SWI/SNF_Brm, SWI/SNF-like EPAFB, bBAF, SWI/SNF BRM-BRG1	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
SMARCD3	chromatin_remodeling	2	Chromatin remodeling cofactor	#	chromatin	BAF, nBAF, npBAF, PBAF, SWI/SNF_Brg1(I), SWI/SNF_Brm, SWI/SNF BRM-BRG1	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
SMARCE1	chromatin_remodeling	2	Chromatin remodeling cofactor	#	chromatin	BAF, nBAF, npBAF, PBAF, SWI/SNF_Brg1(I), SWI/SNF_Brg1(II), SWI/SNF_Brm, SWI/SNF-like_EPAFa, WINAC, SWI/SNF-like EPAFB, bBAF	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
SP1	chromatin_remodeling	2	Chromatin remodeling, TF	TF activator, TF repressor	DNA	CREST-BRG1	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
SP100	chromatin_remodeling	2	Chromatin remodeling cofactor	#	chromatin	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
SRCAP	chromatin_remodeling	2	Chromatin remodeling, Histone modification erase	Histone acetylation	histone	NuA4-related complex, SRCAP	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
SS18L1	chromatin_remodeling	2	Chromatin remodeling	#	chromatin	CREST-BRG1	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
SS18L2	chromatin_remodeling	2	Chromatin remodeling	#	chromatin	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
SSRP1	chromatin_remodeling	2	Chromatin remodeling	#	histone	FACT	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
TLE1	chromatin_remodeling	2	Chromatin remodeling, Histone modification cofactor	#	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
TNP1	chromatin_remodeling	2	Chromatin remodeling	#	chromatin	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
TNP2	chromatin_remodeling	2	Chromatin remodeling	#	chromatin	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
TONSL	chromatin_remodeling	2	Chromatin remodeling	#	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
TOP2A	chromatin_remodeling	2	Chromatin remodeling	#	DNA	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
TOP2B	chromatin_remodeling	2	Chromatin remodeling	#	chromatin	WINAC	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
UBR5	chromatin_remodeling	2	Chromatin remodeling, Histone modification write cofactor	Histone ubiquitination	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
VDR	chromatin_remodeling	2	Chromatin remodeling cofactor, TF	#	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
WHSC1L1	chromatin_remodeling	2	Chromatin remodeling cofactor, TF	#	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
YAF2	chromatin_remodeling	2	Chromatin remodeling cofactor	#	chromatin	BCOR, RING2-L3MBTL2, RING2-FBRS	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
YY1	chromatin_remodeling	2	Chromatin remodeling cofactor, TF	TF repressor	DNA	Ino80	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
ZHX1	chromatin_remodeling	2	Chromatin remodeling, Histone modification write cofactor	Histone acetylation, Histone methylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
